연번,가맹점명,업종명,우편번호,소재지주소,제공기준일자
1,( 주)와이제이 종합건설산업,"건설,건축  자재",13559,"경기도 성남시 분당구 성남대로 295  C-416 (정자동,대림아크로텔)",2025-06-26
2,(Movement Lab)슬기로운 움직임생활,스포츠센타/레포츠클럽,13637,경기도 성남시 분당구 구미로9번길 10  2동 2층 221호,2025-06-26
3,(SH)마케팅,인삼  및  건강제품,13269,경기도 성남시 수정구 공원로 360  두산아파트 106동 901호,2025-06-26
4,(나무그늘)가시리,남.여기성복,13555,"경기 성남시 분당구 정자일로 210,  1층 109호 (정자동, 동양정자파라곤)",2025-06-26
5,(대명)능이오복탕,한식,13574,"경기 성남시 분당구 새마을로177번길 7-8,  1,2층 (율동)",2025-06-26
6,(복)  양친사회복지회  소망재활원,각종회비,13161,경기  성남시  중원구  금광2동  3957번지,2025-06-26
7,(복)양친사회복지회  소망재활원,각종회비,13161,경기 성남시 중원구 산성대로476번길 12  (금광동),2025-06-26
8,(복)양친사회복지회 소망재활원,기타16,13161,경기도 성남시 중원구 산성대로476번길 12  1층,2025-06-26
9,(분당)우리반찬1,식품잡화,13588,경기도 성남시 분당구 중앙공원로31번길 42  106호,2025-06-26
10,(사) 아. 태위성통신협의회,각종회비,13590,"경기 성남시 분당구 서현로 170,  T-1602 (서현동, 풍림아이원플러스)",2025-06-26
11,(사) 한국소프트웨어기술진흥협회,컴퓨터  소프트웨어,13494,경기도 성남시 분당구 대왕판교로 670  801호,2025-06-26
12,(사)국제보이차문화재단,식품잡화,13522,경기도 성남시 분당구 야탑로 28  비1 505호,2025-06-26
13,(사)대한댄스스포츠총엽합회,각종회비,13555,"경기 성남시 분당구 느티로 27,  310 (정자동, 하나빌딩)",2025-06-26
14,(사)대한불교 신조계종 홍유암,종교단체,13333,경기 성남시 수정구 산성대로149번길 27  (수진동),2025-06-26
15,(사)대한산업안전협회  성남지회,일반전문학원,13229,"경기 성남시 중원구 둔촌대로 484,  909 (상대원동, 시콕스타워)",2025-06-26
16,(사)봄뜰을가꾸는사람들 (판교제2어린이집),유치원,13477,경기도 성남시 분당구 운중로225번길 37  ,2025-06-26
17,(사)성남산업단지관리공단,주차장,13218,경기도 성남시 중원구 둔촌대로457번길 8  ,2025-06-26
18,(사)세종전통음식연구소,일반대중음식,13578,경기도 성남시 분당구 서현로357번길 8  1층 (서현동),2025-06-26
